FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Brian | Allemand | Lovers Lane  | 1999 | M | 3 | M
Rémi | Allemand | "Enfant des lumières, L'"  | 2002 | mini | 3 | M
Benoît | Allemane | Art'n Acte Production  | 2003 | M | 4 | M
Benoît | Allemane | Chien qui a vu Dieu, Le  | 1970 | TV |  | M
Benoît | Allemane | Couloirs du temps: Les visiteurs 2, Les  | 1998 | M | 49 | M
Benoît | Allemane | Diable dans la boîte, Le  | 1977 | M |  | M
Benoît | Allemane | Fin et les moyens, La  | 1972 | TV | 3 | M
Benoît | Allemane | Homme au cerveau greffé, L'  | 1971 | M | 7 | M
Benoît | Allemane | Impressions d'Afrique  | 1977 | TV | 2 | M
Benoît | Allemane | Mado  | 1976 | M | 11 | M
Benoît | Allemane | Mon père, ce héros.  | 1991 | M | 10 | M
Benoît | Allemane | Président est gravement malade, Le  | 1980 | TV | 4 | M
Benoît | Allemane | Quelques jours de trop  | 2000 | M | 4 | M
Benoît | Allemane | Songe d'une nuit d'été, Le  | 1969 | TV | 8 | M
Benoît | Allemane | Suspects, Les  | 1974 | M |  | M
Benoît | Allemane | Tenkû no shiro Rapyuta  | 1986 | voice |  | M
Benoît | Allemane | Tombeur, Le  | 1987 | TV | 6 | M
Benoît | Allemane | Tutu  | 2000 | voice |  | M
Benoît | Allemane | Ténors, Les  | 1993 | M | 30 | M
Benoît | Allemane | Un fait d'hiver  | 1982 | TV | 15 | M
Benoît | Allemane | Vie rêvée de Vincent Scotto, La  | 1973 | TV | 18 | M
Benoît | Allemane | "Allée du roi, L'"  | 1996 | mini | 59 | M
Benoît | Allemane | "Allô, tu m'aimes"  | 1988 | M | 7 | M
Benoît | Allemane | "Aéropostale, courrier du ciel, L'"  | 1980 | mini | 33 | M
Benoît | Allemane | "Des grives aux loups"  | 1984 | mini |  | M
Benoît | Allemane | "Destin du docteur Calvet, Le"  | 1989 | M | 6 | M
Benoît | Allemane | "Gerfaut, Le"  | 1987 | mini |  | M
Benoît | Allemane | "Guignols de l'info, Les"  | 1988 | voice |  | M
Benoît | Allemane | "Jean de la Tour miracle"  | 1967 | M | 17 | M
Benoît | Allemane | "Marie-Antoinette"  | 1975 | mini |  | M
Benoît | Allemane | "Quelques hommes de bonne volonté"  | 1983 | mini |  | M
Benoît | Allemane | "Vérificateur, Le"  | 1979 | M | 6 | M
Marv | Allemang | Woman on the Run: The Lawrencia Bembenek Story  | 1993 | TV | 32 | M
Willie | Allemang | Leonard Nimoy Demonstrates the Magnavision Videodisc Player  | 1981 | V |  | M
Cäsar | Allemanni | Landammann Stauffacher  | 1941 | M |  | M
Carlo | Allemano | Turandot - At the Forbidden City of Beijing  | 1999 | TV | 7 | M
Carlo | Allemano | Turandot Project, The  | 2000 | M |  | M
George S. | Allen III | Meteor Man, The  | 1993 | M | 48 | M
George | Allen Jr. | Tennessee Stallion  | 1982 | M | 18 | M
Rex | Allen Jr. | Me, Myself & Irene  | 2000 | voice | 50 | M
Thomas | Allen Jr. | Challenger  | 1990 | TV | 17 | M
Cody | Allen Ruimy | Friends, Lovers, & Lunatics  | 1989 | M | 13 | M
Joseph | Allen Sr. | Adamless Eden, An  | 1912 | a |  | M
Joseph | Allen Sr. | Billy and the Butler  | 1912 | M | 8 | M
Joseph | Allen Sr. | Billy McGrath's Love Letters  | 1912 | a | 3 | M
Joseph | Allen Sr. | Boosting Business  | 1913 | M | 2 | M
Joseph | Allen Sr. | Bound to Occur  | 1913 | a | 3 | M
Joseph | Allen Sr. | Bringing Father Around  | 1912 | M | 4 | M
Joseph | Allen Sr. | Capture, The  | 1913 | M | 5 | M
Joseph | Allen Sr. | Cousin Jane  | 1913 | M | 3 | M
Joseph | Allen Sr. | Deacon's Dilemma, The  | 1913 | M | 3 | M
Joseph | Allen Sr. | Drama in Heyville, The  | 1914 | M | 16 | M
Joseph | Allen Sr. | Forbidden Way, The  | 1913 | a | 6 | M
Joseph | Allen Sr. | Gambling  | 1934 | M | 8 | M
Joseph | Allen Sr. | Ghosts  | 1912 | M | 2 | M
Joseph | Allen Sr. | Good-Bye, Bill  | 1918 | a | 3 | M
Joseph | Allen Sr. | Great O'Malley, The  | 1937 | M |  | M
Joseph | Allen Sr. | Hearts of Men  | 1912 | a | 3 | M
Joseph | Allen Sr. | His Unlucky Night  | 1928 | M |  | M
Joseph | Allen Sr. | Let No Man Put Asunder  | 1913 | M | 5 | M
Joseph | Allen Sr. | Love and Lavallieres  | 1913 | a | 6 | M
Joseph | Allen Sr. | Old Florist, The  | 1912 | unconfirmed | 1 | M
Joseph | Allen Sr. | Return of Becky, The  | 1912 | a | 2 | M
Joseph | Allen Sr. | Rival Salesmen, The  | 1913 | a | 6 | M
Joseph | Allen Sr. | Scratch, The  | 1913 | M | 3 | M
Joseph | Allen Sr. | Seven Keys to Baldpate  | 1929 | M | 7 | M
Joseph | Allen Sr. | Soul Reclaimed, A  | 1912 | a |  | M
Joseph | Allen Sr. | Trail of the Itching Palm, The  | 1913 | a | 1 | M
Joseph | Allen Sr. | Will-Be Weds, The  | 1913 | a | 3 | M
Adenrele Ojo | Allen | My Little Girl  | 1986 | M | 49 | M
